Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC 中銀,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
85,"18,390","27,886","12,907.00","19,776","15,165","34,461","18,910","22,483","21,791.54","25,142","14,580.00","21,893.00","20,952","19,599","16,709","18,547","17,917",13788,"22,679.06","22,223","15,913","15,660","19,254.00","18,401","16,264",24326.4,"19,523","14,914","11,615"
86,"18,950","28,165","12,907.00","20,028","15,173","35,124","19,129.00","22,872","22,167.92","25,631","14,935.00","22,291.00","20,952","19,864","16,926","18,547","17,917",13788,"23,064.54","22,446","16,186","15,782","19,639.00","18,638","16,546",24768,"19,806","15,030","11,615"
87,"19,511","28,446","12,907.00","20,292","15,181","35,763","19,349.00","23,222","22,507.15","26,131","15,296.00","22,649.00","20,952","20,130","17,148","18,547","17,917",13788,"23,456.62","22,670","16,428","15,916","19,999.00","18,876","16,799",25164.8,"20,097","15,158","11,615"
88,"20,098","28,731","12,907.00","20,616","15,189","36,320","19,568.00","23,563","22,838.31","26,647","15,668.00","23,023.00","20,952","20,397","17,370","18,547","17,917",13788,"23,761.58","22,898","16,688","16,066","20,360.00","19,110","17,046",25580.8,"20,397","15,301","11,615"
89,"20,624","29,018","12,907.00","20,916","15,196","36,744","19,788.00","23,898","23,163.00","27,173","16,061.00","23,397.00","20,952","20,662","17,597","18,547","17,917",13788,"24,070.49","23,126","16,943","16,231","20,722.00","19,321","17,288",25996.8,"20,706","15,458","11,615"
90,"21,163","29,308","12,907.00","21,252","15,205","37,163","20,009.00","24,225","23,479.62","27,712","16,464.00","23,772.00","20,952","20,928","17,824","19,860","17,917",13788,"24,311.21","23,357","17,199","16,312","21,099.00","19,528","17,525",26412.8,"20,906","15,535","11,615"
91,"21,724","29,454","12,907.00","21,516","15,213","37,581","20,230.00","24,548","23,793.00","28,262","16,831.00","24,152.00","20,952","21,186","18,056","19,860","17,917",13788,"24,554.33","23,591","17,459","16,394","21,486.00","19,732","17,759",26835.2,"21,209","15,613","11,615"
92,"22,284","29,602","12,907.00","21,756","15,221","37,996","20,451.00","24,868","24,103.15","28,826","17,205.00","24,538.00","20,952","21,445","18,288","19,860","17,917",13788,"24,750.71","23,826","17,726","16,475","21,883.00","19,891","17,990",27264,"21,521","15,690","11,615"
93,"22,879","29,750","12,907.00","22,056","15,229","38,345","20,673.00","25,152","24,377.77","29,408","17,588.00","24,941.00","20,952","21,705","18,523","19,860","17,917",13788,"24,923.85","24,064","17,991","16,555","22,263.00","20,049","18,194",27712,"21,842","15,767","11,615"
94,"23,404","29,898","12,907.00","22,320","15,238","38,641","20,894.00","25,398","24,616.85","30,003","17,980.00","25,315.00","20,952","21,963","18,761","19,860","17,917",13788,"25,044.59","24,303","18,267","16,639","22,631.00","20,204","18,374",28128,"22,173","15,847","11,615"
95,"23,944","30,047","12,907.00","22,632","15,245","38,909","21,115.00","25,605","24,817.15","30,614","18,380.00","25,695.00","20,952","22,222","19,002","20,684","17,917",13788,"25,167.04","24,547","18,543","16,722","23,002.00","20,316","18,523",28550.4,"23,092","15,926","11,615"
96,"24,491","30,197","12,907.00","22,860","15,253","39,149","21,337.00","25,772","24,978.69","31,236","18,789.00","26,098.00","20,952","22,546","19,246","20,684","17,917",13788,"25,291.43","24,792","18,804","16,803","23,359.00","20,418","18,643",28998.4,"23,448","16,003","11,615"
97,"25,064","30,349","12,907.00","23,052","15,261","39,369","21,558.00","25,898","25,101.46","31,875","19,206.00","26,473.00","20,952","22,871","19,491","20,684","17,917",13788,"25,413.72","25,040","19,081","16,888","23,714.00","20,522","18,735",29414.4,"23,814","16,084","11,615"
98,"25,639","30,500","12,907.00","23,316","15,269","39,580","21,780.00","26,025","25,224.23","32,528","19,633.00","26,870.00","20,952","23,195","19,739","20,684","17,917",13788,"25,537.65","25,291","19,362","16,972","24,095.00","20,593","18,827",29856,"24,192","16,164","11,615"
99,"26,226","30,653","12,907.00","23,568","15,277","39,758","22,002.00","26,068","25,266.23","33,200","20,070.00","27,291.00","20,952","23,519","19,992","20,684","17,917",13788,"25,662.11","25,544","19,499","17,056","24,443.00","20,664","18,858",30323.2,"24,582","16,244","11,615"
