Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC Group 中銀集團,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
88,"19,573","28,731","15,078.00","21,516","13,744","33,869","19,928.00","22,970","22,263.23","26,823","18,088.00","23,253.00","20,952","20,397","17,357","19,783","17,917",14700,"25,877.64","22,898","18,164","16,331","20,352.00","21,655","17,074",25836.8,"21,638","15,553","13,565"
89,"20,025","29,018","15,078.00","21,792","13,818","34,187","20,151.00","23,243","22,528.15","27,333","18,542.00","23,645.00","20,952","20,662","17,582","19,783","17,917",14700,"26,188.18","23,126","18,457","16,413","20,726.00","21,995","17,314",26272,"21,981","15,631","13,565"
90,"20,514","29,308","15,078.00","21,972","13,891","34,503","20,372.00","23,513","22,789.85","27,857","19,007.00","24,031.00","20,952","20,928","17,810","21,424","17,917",14700,"26,502.44","23,357","18,753","16,494","21,112.00","22,330","17,552",26700.8,"22,384","15,709","13,565"
91,"20,988","29,454","15,078.00","22,236","13,967","34,810","20,593.00","23,773","23,041.85","28,394","19,430.00","24,417.00","20,952","21,186","18,041","21,424","17,917",14700,"26,740.91","23,591","19,051","16,578","21,527.00","22,661","17,783",27129.6,"22,723","15,789","13,565"
92,"21,506","29,602","15,078.00","22,476","14,042","35,115","20,814.00","24,027","23,287.38","28,944","19,865.00","24,791.00","20,952","21,445","18,274","21,424","17,917",14700,"26,882.97","23,826","19,360","16,659","21,959.00","22,969","18,012",27545.6,"23,072","15,866","13,565"
93,"22,016","29,750","15,078.00","22,692","14,115","35,501","21,034.00","24,347","23,597.54","29,515","20,307.00","25,177.00","20,952","21,705","18,509","21,424","17,917",14700,"27,015.80","24,064","19,665","16,741","22,472.00","23,275","18,290",27974.4,"23,433","15,944","13,565"
94,"22,483","29,898","15,078.00","22,980","14,190","35,842","21,256.00","24,630","23,872.15","30,103","20,760.00","25,580.00","20,952","21,963","18,748","21,424","17,917",14700,"27,146.86","24,303","19,983","16,826","22,984.00","23,588","18,542",28422.4,"23,805","16,025","13,565"
95,"22,965","30,047","15,078.00","23,160","14,263","36,160","21,477.00","24,878","24,112.85","30,704","21,222.00","25,972.00","20,952","22,222","18,987","22,509","17,917",14700,"27,279.85","24,547","20,302","16,909","23,502.00","23,898","18,770",28857.6,"25,010","16,104","13,565"
96,"23,453","30,197","15,078.00","23,400","14,338","36,450","21,697.00","25,085","24,313.15","31,322","21,696.00","26,375.00","20,952","22,546","19,231","22,509","17,917",14700,"27,409.27","24,792","20,604","16,991","24,023.00","24,210","18,966",29305.6,"25,413","16,182","13,565"
97,"23,956","30,349","15,078.00","23,616","14,413","36,704","21,918.00","25,242","24,465.00","31,954","22,180.00","26,796.00","20,952","22,871","19,477","22,509","17,917",14700,"27,541.80","25,040","20,924","17,077","24,546.00","24,512","19,126",29772.8,"25,830","16,264","13,565"
98,"24,467","30,500","15,078.00","23,880","14,487","36,973","22,138.00","25,417","24,634.62","32,602","22,673.00","27,221.00","20,952","23,195","19,726","22,509","17,917",14700,"27,674.86","25,291","21,249","17,162","25,126.00","24,807","19,300",30246.4,"26,260","16,345","13,565"
99,"24,970","30,653","15,078.00","24,120","14,562","37,134","22,359.00","25,453","24,670.15","33,272","23,180.00","27,625.00","20,952","23,519","19,979","22,509","17,917",14700,"27,808.63","25,544","21,396","17,248","25,646.00","25,102","19,370",30694.4,"26,705","16,427","13,565"
